session_id,channel,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis
multi_1728653943.542037,wy,3226,3226,0,0.004648419094854309,0.055905129764039295,0.0043,0.03573071346598501,0.004700232378001549,-0.019875,0.0283,0.048174999999999996,-0.246,0.1963,-0.24531570366831215,2.547708621591589
multi_1728653943.542037,wz,3226,3226,0,0.0002285182889026658,0.014299194061068601,0.0002,0.013343419966550417,0.0003709914794732767,-0.0086,0.0093,0.0179,-0.0438,0.0394,-0.16566500098255174,0.4543779631327096
multi_1728653943.542037,yaw,3226,3226,0,-2.149643397396156,2.0843540427816643,-2.9674,0.06049017051502848,-2.6849462432223086,-3.0075,-2.926,0.08149999999999968,-3.1395,3.1402,2.0940591199128504,2.3903129418836295
multi_1728653943.542037,pitch,3226,3226,0,1.4183651580905146,0.045091538056153874,1.4265,0.0631588545083386,1.418716924864446,1.3655,1.463275,0.09777500000000017,1.3591,1.4766,-0.13873570620774095,-1.6969257957859825
multi_1728653943.542037,roll,3226,3226,0,2.864823961562306,0.8874872378910381,2.99715,0.0411422115635307,2.9907568164213787,2.9534,3.0185,0.06510000000000016,-3.1407,3.1415,-6.581740771959414,41.47875132667609
multi_1728653943.542037,acc_mag,3226,3226,0,0.15914747923365977,0.082836659501711,0.14486552384884405,0.07531953645770656,0.15061337975659198,0.10032650371752694,0.20114795549545114,0.1008214517779242,0.012126417442921878,0.5841992211566188,1.2364674266630107,2.542571190444292
multi_1728653943.542037,gravity_mag,3226,3226,0,0.9998216128872335,0.012860479380554311,0.999967674475304,0.008142195552260652,0.9997600691112173,0.9942626878483629,1.005258196908065,0.010995509059702036,0.8381557074911559,1.1555000562527031,-0.6903325539745508,40.1413707831473
multi_1728653943.542037,gyro_mag,3226,3226,0,0.04591591805492401,0.03846795989477828,0.03222654059966268,0.023918672630698457,0.039180983271665255,0.020193067894425855,0.059280666471319,0.039087598576893146,0.0022494443758403985,0.24715391965332048,1.912782943694771,4.469964692808592
multi_1728654157.5263371,gFx,3262,3262,0,0.013339760882893929,0.023607754568102688,0.0112,0.011860817748044816,0.012863486590038315,0.004925,0.0217,0.016775,-0.1761,0.2336,0.3894168913822428,11.63861130289572
multi_1728654157.5263371,gFy,3262,3262,0,-0.9926165236051503,0.2091960917025407,-0.9913,0.020608170837227737,-0.9872608429118775,-1.0045,-0.9767,0.027799999999999936,-2.3098,-0.3512,-1.7148890601617357,9.51200888360224
multi_1728654157.5263371,gFz,3262,3262,0,0.1012872777437155,0.08239955669344964,0.0993,0.03869591790299623,0.10211904214559388,0.0768,0.13215000000000002,0.055350000000000024,-0.3835,0.7909,0.1506505423921256,10.02042453935825
multi_1728654157.5263371,ax,3262,3262,0,-0.0473942060085837,0.21233475136244792,-0.02695,0.10089108096930621,-0.03795938697318007,-0.1132,0.0327,0.1459,-1.87,0.9934,-1.535783962129027,14.65410986602193
